flux0_1,flux0_2,flux0_3,flux2_1,flux2_2,flux2_3,id,x,y,z
4.0332768803821e-10,0.00019623278887189,0.0027644965080695,3.8501132531703e-11,1.4153376557211e-05,0.00019768406142738,0,0,0,0
6.8065403803994e-10,0.00042722166813756,0.0062873654486273,2.9174630959463e-11,2.3391002907206e-06,2.7834564536404e-05,2.1503006012024,0,2.1503006012024,0
9.9955004157349e-10,0.00065940221305102,0.0098147339205733,3.3334063053539e-11,5.2305296486968e-07,4.814339406255e-06,4.3006012024048,0,4.3006012024048,0
1.3806138749505e-09,0.00089278136432824,0.013349882200249,4.3273351506595e-11,2.5142310144587e-07,2.0610319381991e-06,6.4509018036072,0,6.4509018036072,0
1.8477041704807e-09,0.0011273935419365,0.016896014802319,5.7079854642493e-11,2.2132497116458e-07,2.0797839531108e-06,8.6012024048096,0,8.6012024048096,0
2.4297863647828e-09,0.0013633117154845,0.020456297125198,7.4807249099243e-11,2.3252838503051e-07,2.4717582244074e-06,10.751503006012,0,10.751503006012,0
3.1628241665649e-09,0.0016006435543534,0.024033868813419,9.7297713528359e-11,2.5354518886104e-07,2.9122963392562e-06,12.901803607214,0,12.901803607214,0
4.0920109981077e-09,0.0018395236780953,0.027631855852722,1.258583283609e-10,2.7872983392799e-07,3.3589988473394e-06,15.052104208417,0,15.052104208417,0
5.28129274265e-09,0.0020801459423468,0.031253936493834,1.6242994021248e-10,3.0660465900036e-07,3.807295877359e-06,17.202404809619,0,17.202404809619,0
6.8039681450261e-09,0.0023226672709257,0.034903079160347,2.092586682094e-10,3.3641430842789e-07,4.25743269456e-06,19.352705410822,0,19.352705410822,0
8.7522166405331e-09,0.0025672540970508,0.038582205737061,2.6917709672768e-10,3.6769777587451e-07,4.7101198775003e-06,21.503006012024,0,21.503006012024,0
1.1246780870645e-08,0.0028140973528681,0.042294474450272,3.4589796011727e-10,4.0015537698307e-07,5.1660377316862e-06,23.653306613226,0,23.653306613226,0
1.4441993676849e-08,0.003063394948451,0.046043066028165,4.4416757393814e-10,4.3358152198622e-07,5.6257922666608e-06,25.803607214429,0,25.803607214429,0
1.853520102378e-08,0.0033153505695572,0.049831187856743,5.7005529460596e-10,4.6783820758842e-07,6.0899302651542e-06,27.953907815631,0,27.953907815631,0
2.377879487525e-08,0.0035701728693661,0.05366207772816,7.3132348428098e-10,5.0283670733948e-07,6.5589553816963e-06,30.104208416834,0,30.104208416834,0
3.0517479806501e-08,0.0038281133294583,0.057539581781968,9.385736212549e-10,5.3853230089066e-07,7.0334080277119e-06,32.254509018036,0,32.254509018036,0
3.919761300953e-08,0.0040894204008509,0.061467477398123,1.2055335434339e-09,5.7490400858113e-07,7.5137955347987e-06,34.404809619238,0,34.404809619238,0
